Time, Pellets, Tension, Position, Distance, Reward
182.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.58061
183.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.65203
184.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.72346
185.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.79488
186.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.8663
187.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.93773
188.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.00915
189.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.08057
190.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.15199
191.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.22342
192.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.29484
193.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.36626
194.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.43768
195.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.50911
196.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.58053
197.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.65195
198.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.72337
199.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.7948
200.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.86622
201.0333, 42, 0, (-0.6 0.45 0), 1.2, -12.93764
202.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.00906
203.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.08049
204.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.15191
205.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.22333
206.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.29475
207.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.36618
208.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.4376
209.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.50902
210.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.58044
211.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.65187
212.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.72329
213.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.79471
214.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.86613
215.0333, 42, 0, (-0.6 0.45 0), 1.2, -13.93756
216.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.00898
217.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.0804
218.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.15182
219.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.22325
220.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.29467
221.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.36609
222.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.43752
223.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.50894
224.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.58036
225.0333, 42, 0, (-0.6 0.45 0), 1.2, -14.65178
